FID,OBJECTID,Site ID,Site Name,Level of Government,State,Level of Protection,Management Agency,Management Plan,Primary Conservation Focus,Conservation Focus,Fishing Restrictions,Protection Focus,Permanence,Constancy,Year Established,Anchor,Vessel,IUCN_MPA,IUCN category,Category,Marine Status,URL,WDPA_Cd,ProSeasID,Designation,Area (km2),Marine Area (km2),Percent Area Marine,No-Take Area (km2),Longitude,Latitude,VxCount,SHAPE_Leng,SHAPE_Area,Shape__Area,Shape__Length
1,1,AK25,Walrus Islands State Game Sanctuary,State,AK,Zoned w/No Take Areas,Alaska Department of Fish and Game,Non-MPA Programmatic Species Management Plan,Natural Heritage,Natural Heritage,Commercial Fishing Restricted,Focal Resource,Permanent,Year-round,1989,,,1,IV,IUCN MPA,Marine,http://www.adfg.alaska.gov/index.cfm?adfg=walrusislands.main,22663,AK25,State Game Sanctuary,753.325,745.4609985,99,0,-160.2310472,58.70088494,2601,3.298504346,0.117017245,2791294150,491586.3031
2,2,NPS10,Cape Hatteras National Seashore,Federal,NC,Uniform Multiple Use,National Park Service,Site-Specific Management Plan,Natural Heritage,Natural Heritage and Cultural Heritage,Commercial and Recreational Fishing Restricted,Ecosystem,Permanent,Year-round,1937,Unrestricted,Restricted,1,V,IUCN MPA,Mixed,https://www.nps.gov/caha/index.htm,1074,NPS10,National Seashore,126.102,28.92048454,23,0,-75.61717993,35.24241198,3797,2.741455005,0.01249547,190140869.1,343505.4
3,3,AS1,Ofu Vaoto Marine Park,Territorial,ASM,No Take,American Samoa Department of Parks & Recreation,No Management Plan,Natural Heritage,Natural Heritage,Commercial and Recreational Fishing Prohibited,Ecosystem,Permanent,Year-round,1994,,,1,Ia,IUCN MPA,Marine,https://gaiapassage.com/american-samoa/,0,AS1,Marine Park,0.384755,0.384747893,100,0.384755284,-169.6702398,-14.18698171,51,0.025234934,3.20254E-05,409343.6055,2837.034473
4,4,CT1,Bluff Point State Park/Natural Area Preserve,State,CT,Zoned Multiple Use,Connecticut Department of Environmental Protection,Site-Specific Management Plan,Natural Heritage,Natural Heritage,Recreational Fishing Restricted,Ecosystem,Permanent,Year-round,1963,,,1,IV,IUCN MPA,Interface,http://www.ct.gov/deep/cwp/view.asp?a=2716&q=325178&deepNav_GID=1650,55557932,CT1,State Park/Natural Area Preserve,2.9846,0.112253532,4,0,-72.03028818,41.3239707,547,0.15601182,0.000320708,5292000.906,19914.00475
5,5,CT10,Silver Sands State Park/Charles Island Natural Area Preserve,State,CT,Zoned Multiple Use,Connecticut Department of Environmental Protection,No Management Plan,Natural Heritage,Natural Heritage,Recreational Fishing Restricted,Ecosystem,Permanent,Year-round,1955,,,1,IV,IUCN MPA,Interface,http://www.ct.gov/deep/cwp/view.asp?a=2716&q=325262&deepNav_GID=1650%20,0,CT10,State Park/Natural Area Preserve,1.22585,0.014841026,1,0,-73.0694981,41.20226499,863,0.114931997,0.000131478,2165473.219,14112.52282
6,6,CT12,Barn Island Wildlife Management Area,State,CT,Uniform Multiple Use,Connecticut Department of Environmental Protection,No Management Plan,Natural Heritage,Natural Heritage and Sustainable Production,No Site Restrictions,Ecosystem,Permanent,Year-round,1944,,,1,VI,IUCN MPA,Interface,http://www.ct.gov/deep/cwp/view.asp?a=2723&Q=578666&deepNav_GID=1655,0,CT12,Wildlife Management Area,3.92673,0.102672882,3,0,-71.86506569,41.34275572,549,0.195540686,0.000422067,6966523.41,24793.7395
7,7,CT14,Charles E. Wheeler Wildlife Mangement Area,State,CT,Uniform Multiple Use,Connecticut Department of Environmental Protection,No Management Plan,Natural Heritage,Natural Heritage and Sustainable Production,No Site Restrictions,Ecosystem,Permanent,Year-round,0,,,1,VI,IUCN MPA,Mixed,http://ct.audubon.org/conservation/milford-point,0,CT14,Wildlife Management Area,2.74839,0.514653146,19,0,-73.10929577,41.18940227,2534,0.510712172,0.000294719,4853147.195,66123.714
8,8,CT16,Duck Island Wildlife Management Area/Natural Area Preserve (Westbrook),State,CT,Uniform Multiple Use,Connecticut Department of Environmental Protection,No Management Plan,Natural Heritage,Natural Heritage,No Site Restrictions,Ecosystem,Permanent,Year-round,1973,,,1,VI,IUCN MPA,Marine,https://www.fws.gov/refuge/Stewart_B_McKinney/what_we_do/westbrook_islands.html,0,CT16,Wildlife Management Area/Natural Area Preserve,0.0132721,0.013272075,100,0,-72.47505323,41.25633943,26,0.005008926,1.42467E-06,23484.02344,689.2282839
9,9,CT18,East River Marsh Wildlife Area/ East River Wildlife Area,State,CT,Uniform Multiple Use,Connecticut Department of Environmental Protection,No Management Plan,Natural Heritage,Natural Heritage and Sustainable Production,No Site Restrictions,Ecosystem,Permanent,Year-round,1960,,,1,VI,IUCN MPA,Mixed,http://www.ct.gov/Deep/cwp/view.asp?a=2723&q=325728&deepNav_GID=1655,0,CT18,Wildlife Area,0.557494,0.034818884,6,0,-72.65505913,41.27476829,216,0.085606788,5.98601E-05,987005.3633,10858.8395
10,10,CT21,Great Harbor Wildlife Area,State,CT,Uniform Multiple Use,Connecticut Department of Environmental Protection,No Management Plan,Natural Heritage,Natural Heritage,No Site Restrictions,Ecosystem,Permanent,Year-round,1945,,,1,VI,IUCN MPA,Marine,"https://connecticut.hometownlocator.com/maps/feature-map,ftc,2,fid,1933828,n,great%20harbor%20wildlife%20area.cfm",0,CT21,Wildlife Area,0.711494,0.711494327,100,0,-72.70207404,41.26346968,302,0.095701615,7.63824E-05,1259215.043,12090.03209
